group,permission,description,enforcement,notes,OWNER_tagged,OWNER_api,OWNER_align,PM_tagged,PM_api,PM_align,DPM_tagged,DPM_api,DPM_align,QC_tagged,QC_api,QC_align,MECHANICAL_MANAGER_tagged,MECHANICAL_MANAGER_api,MECHANICAL_MANAGER_align,STORE_INCHARGE_tagged,STORE_INCHARGE_api,STORE_INCHARGE_align,WEIGHBRIDGE_INCHARGE_tagged,WEIGHBRIDGE_INCHARGE_api,WEIGHBRIDGE_INCHARGE_align,SITE_SUPERVISOR_tagged,SITE_SUPERVISOR_api,SITE_SUPERVISOR_align,SUPERVISOR_tagged,SUPERVISOR_api,SUPERVISOR_align,ACCOUNTANT_tagged,ACCOUNTANT_api,ACCOUNTANT_align,INVENTORY_MANAGER_tagged,INVENTORY_MANAGER_api,INVENTORY_MANAGER_align
Settings,settings.permissions,Customize role permissions,PERMISSION,[route requirePermission ×4],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.integrations,"Manage integrations (WhatsApp, Razorpay, etc.)",PERMISSION,[route requirePermission ×8],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.billing,Manage subscription & billing,PERMISSION,[route requirePermission ×2],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.audit,View audit log,PERMISSION,[route requirePermission ×1],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.export,Export / backup company data,PERMISSION,[route requirePermission ×2],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.material_prices,Manage material prices & resource library,PERMISSION,resources use requireRole; rate-regions anyOf material_prices [route requirePermission ×2],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Settings,settings.rate_regions,Manage rate regions & regional pricing,PERMISSION,[route requirePermission ×6],YES,PASS,MATCH,YES,PASS,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER
Settings,settings.rate_analysis,Manage rate analysis library,ROLE,RA_MUTATION_ROLES for writes; reads auth,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH
Settings,settings.tickets,Manage support tickets,PERMISSION,[route requirePermission ×2],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Reports,reports.view,View reports hub,AUTH_ONLY,pdf-report mostly auth; some OWNER/ACCOUNTANT,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A
Reports,reports.download,Download PDF / Excel reports,MIXED,GST/TDS OWNER/ACCOUNTANT; others auth,YES,PARTIAL,N/A,YES,PARTIAL,N/A,YES,PARTIAL,N/A,YES,PARTIAL,N/A,YES,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,YES,PARTIAL,N/A,YES,PARTIAL,N/A
