group,permission,description,role,roleLabel,tagged,api,align,enforcement,notes
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",QC,Senior QC Engineer,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",MECHANICAL_MANAGER,Mechanical Manager,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",SITE_SUPERVISOR,Site Supervisor,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",SUPERVISOR,Site Supervisor (legacy),NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission)
Daily Operations,report.view,View daily site reports,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,QC,Senior QC Engineer,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,STORE_INCHARGE,Store Incharge,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.view,View daily site reports,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,daily-report routes: auth
Daily Operations,report.create,Submit daily site reports,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,PM,Project Manager,NO,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,DPM,Deputy Project Manager,NO,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,QC,Senior QC Engineer,YES,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,YES,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,report.create,Submit daily site reports,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,daily-report create: auth
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,OWNER,Owner / MD,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,PM,Project Manager,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,DPM,Deputy Project Manager,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,QC,Senior QC Engineer,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,ACCOUNTANT,Accountant,NO,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,OWNER,Owner / MD,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,PM,Project Manager,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,DPM,Deputy Project Manager,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,QC,Senior QC Engineer,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,STORE_INCHARGE,Store Incharge,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,ACCOUNTANT,Accountant,NO,UNGATED,N/A,UNGATED,No clear permission guard
Daily Operations,attendance.view,View attendance records,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,UNGATED,No clear permission guard
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",OWNER,Owner / MD,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",PM,Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",DPM,Deputy Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",QC,Senior QC Engineer,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",MECHANICAL_MANAGER,Mechanical Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",STORE_INCHARGE,Store Incharge,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",ACCOUNTANT,Accountant,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",INVENTORY_MANAGER,Inventory Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,OWNER,Owner / MD,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,PM,Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,DPM,Deputy Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,QC,Senior QC Engineer,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,STORE_INCHARGE,Store Incharge,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,ACCOUNTANT,Accountant,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,INVENTORY_MANAGER,Inventory Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×5]
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,OWNER,Owner / MD,YES,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,PM,Project Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,DPM,Deputy Project Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,QC,Senior QC Engineer,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,MECHANICAL_MANAGER,Mechanical Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,STORE_INCHARGE,Store Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,SITE_SUPERVISOR,Site Supervisor,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,SUPERVISOR,Site Supervisor (legacy),NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,ACCOUNTANT,Accountant,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,INVENTORY_MANAGER,Inventory Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,OWNER,Owner / MD,YES,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,PM,Project Manager,YES,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,DPM,Deputy Project Manager,YES,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,QC,Senior QC Engineer,NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,MECHANICAL_MANAGER,Mechanical Manager,NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,STORE_INCHARGE,Store Incharge,NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,SITE_SUPERVISOR,Site Supervisor,NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,SUPERVISOR,Site Supervisor (legacy),NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,ACCOUNTANT,Accountant,NO,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,INVENTORY_MANAGER,Inventory Manager,YES,FIELD,N/A,FIELD,Field-level; not route-guarded
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,OWNER,Owner / MD,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,PM,Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,DPM,Deputy Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,QC,Senior QC Engineer,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,ACCOUNTANT,Accountant,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,INVENTORY_MANAGER,Inventory Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,OWNER,Owner / MD,YES,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,PM,Project Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,DPM,Deputy Project Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,QC,Senior QC Engineer,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,MECHANICAL_MANAGER,Mechanical Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,STORE_INCHARGE,Store Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,SITE_SUPERVISOR,Site Supervisor,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,SUPERVISOR,Site Supervisor (legacy),NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,ACCOUNTANT,Accountant,NO,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,INVENTORY_MANAGER,Inventory Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Not directly on routes as requirePermission
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,OWNER,Owner / MD,YES,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,PM,Project Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,DPM,Deputy Project Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,QC,Senior QC Engineer,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,MECHANICAL_MANAGER,Mechanical Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,STORE_INCHARGE,Store Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,SITE_SUPERVISOR,Site Supervisor,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,SUPERVISOR,Site Supervisor (legacy),NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,ACCOUNTANT,Accountant,NO,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,INVENTORY_MANAGER,Inventory Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Service/UI level
Procurement & Inventory,procurement.approve_po,Approve purchase orders,OWNER,Owner / MD,YES,PASS,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,PM,Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,DPM,Deputy Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,QC,Senior QC Engineer,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,ACCOUNTANT,Accountant,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.approve_po,Approve purchase orders,INVENTORY_MANAGER,Inventory Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×3]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),OWNER,Owner / MD,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),PM,Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),DPM,Deputy Project Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),QC,Senior QC Engineer,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),STORE_INCHARGE,Store Incharge,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),ACCOUNTANT,Accountant,NO,FAIL,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),INVENTORY_MANAGER,Inventory Manager,YES,PASS,MATCH,PERMISSION,[route requirePermission ×1]
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,OWNER,Owner / MD,YES,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,PM,Project Manager,YES,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,DPM,Deputy Project Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,QC,Senior QC Engineer,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,MECHANICAL_MANAGER,Mechanical Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,STORE_INCHARGE,Store Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,SITE_SUPERVISOR,Site Supervisor,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,SUPERVISOR,Site Supervisor (legacy),NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,ACCOUNTANT,Accountant,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,INVENTORY_MANAGER,Inventory Manager,NO,PARTIAL,N/A,UI_OR_SERVICE,Not route-guarded via requirePermission
